gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3732673960	StillImage	image/jpeg	https://observation.org/photos/40697410.jpg							Ben van Wierst			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ben van Wierst
3732673960	StillImage	image/jpeg	https://observation.org/photos/40697408.jpg							Ben van Wierst			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ben van Wierst
3732673960	StillImage	image/jpeg	https://observation.org/photos/40697409.jpg							Ben van Wierst			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ben van Wierst
3730298340	StillImage	image/jpeg	https://observation.org/photos/34067401.jpg							Martijn van Sluijs			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martijn van Sluijs
3730298340	StillImage	image/jpeg	https://observation.org/photos/34067400.jpg							Martijn van Sluijs			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martijn van Sluijs
3730298340	StillImage	image/jpeg	https://observation.org/photos/34067399.jpg							Martijn van Sluijs			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martijn van Sluijs
3728768393	StillImage	image/jpeg	https://observation.org/photos/32585719.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3728768393	StillImage	image/jpeg	https://observation.org/photos/32585718.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3728768393	StillImage	image/jpeg	https://observation.org/photos/32585717.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3728683164	StillImage	image/jpeg	https://observation.org/photos/34390395.jpg							César Fernández González			http://creativecommons.org/licenses/by-nc-nd/4.0/	César Fernández González
3728683164	StillImage	image/jpeg	https://observation.org/photos/34390394.jpg							César Fernández González			http://creativecommons.org/licenses/by-nc-nd/4.0/	César Fernández González
3728683164	StillImage	image/jpeg	https://observation.org/photos/34390393.jpg							César Fernández González			http://creativecommons.org/licenses/by-nc-nd/4.0/	César Fernández González
3728492262	StillImage	image/jpeg	https://observation.org/photos/30164185.jpg							Bart Roelandt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bart Roelandt
3728492262	StillImage	image/jpeg	https://observation.org/photos/30164186.jpg							Bart Roelandt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bart Roelandt
3728492262	StillImage	image/jpeg	https://observation.org/photos/30164184.jpg							Bart Roelandt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bart Roelandt
3728247784	StillImage	image/jpeg	https://observation.org/photos/31141816.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3728247784	StillImage	image/jpeg	https://observation.org/photos/31141815.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3728246776	StillImage	image/jpeg	https://observation.org/photos/29848579.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3728246776	StillImage	image/jpeg	https://observation.org/photos/29848580.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3728246776	StillImage	image/jpeg	https://observation.org/photos/29848581.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3728246661	StillImage	image/jpeg	https://observation.org/photos/29764006.jpg							Bart Roelandt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bart Roelandt
3728246661	StillImage	image/jpeg	https://observation.org/photos/29764007.jpg							Bart Roelandt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bart Roelandt
3728246661	StillImage	image/jpeg	https://observation.org/photos/29764008.jpg							Bart Roelandt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bart Roelandt
3728054059	StillImage	image/jpeg	https://observation.org/photos/29848956.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3728054059	StillImage	image/jpeg	https://observation.org/photos/29848957.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3728054059	StillImage	image/jpeg	https://observation.org/photos/29848955.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3727536332	StillImage	image/jpeg	https://observation.org/photos/32896488.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3727536332	StillImage	image/jpeg	https://observation.org/photos/32896489.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3727536332	StillImage	image/jpeg	https://observation.org/photos/32896490.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3727007836	StillImage	image/jpeg	https://observation.org/photos/32340469.jpg							Paul Cools			http://creativecommons.org/licenses/by-nc-nd/4.0/	Paul Cools
3726593789	StillImage	image/jpeg	https://observation.org/photos/31141405.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3726593789	StillImage	image/jpeg	https://observation.org/photos/31141406.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3726593789	StillImage	image/jpeg	https://observation.org/photos/31141408.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
